BPLIC,alt,category,info_r1,info_r2,pack,price,promotionText
606053,"Peroni Nastro Azzurro 24 x 330ml,Ambient,Add to List",£20.99,,,"Case of,24",£20.99,
234022,"Budweiser Lager Beer Bottles 24 x 300ml,Ambient,Add to List",£17.49,,,"Case of,24",£17.49,
135253,"Corona Extra Lager Beer Bottles 24 x 330ml,Ambient,Add to List",£19.99,,,"Case of,24",£19.99,
75273,"Desperados Tequila Lager Beer 330ml Bottle,Ambient,Add to List",£26.99,,,"Case of,24",£26.99,
238673,"Budweiser Lager Beer Bottles 6 x 300ml PMP £6.49,Prices Down,Ambient,Add to List",£15.99,,,"Case of,4",£15.99,Normal WSP: £16.99 Now £15.99 SAVE £1.00
246754,"Carlsberg Lager Beer 4 x 500ml PMP £5.39,Ambient,Add to List",£18.99,,,"Case of,6",£18.99,
259784,"Awaiting image,Ambient,Add to List",£23.89,,,"Case of,6",£23.89,
234668,"Holsten Pils 4 x 500ml PMP £5.99,Ambient,Add to List",£22.99,,,"Case of,6",£22.99,
11047,"Holsten Pils Lager 275ml,Prices Down,Ambient,Add to List",£16.49,,,"Case of,24",£16.49,Normal WSP: £18.99 Now £16.49 SAVE £2.50
921007,"San Miguel Premium Lager Beer 24 x 330ml,Prices Down,Ambient,Add to List",£15.99,,,"Case of,24",£15.99,Normal WSP: £19.99 Now £15.99 SAVE £4.00
116911,"Beck's Blue Alcohol Free German Beer Bottles 24 x 275ml,Ambient,Add to List",£14.99,,,"Case of,24",£14.99,
195264,"BrewDog Nanny State Alcohol Free Hoppy Ale 330ml,Ambient,Add to List",£11.99,,,"Case of,12",£11.99,
195267,"Brewdog Vagabond Pale Ale 330ml,Ambient,Add to List",£15.99,,,"Case of,12",£15.99,
974485,"Budweiser Budvar Original Czech Lager 24 x 330ml,Ambient,Add to List",£20.99,,,"Case of,24",£20.99,
205274,"Chang Classic Lager Beer 320ml,Ambient,Add to List",£21.49,,,"Case of,24",£21.49,
195006,"Erdinger Weissbrau Alkoholfrei 50cl,Ambient,Add to List",£11.49,,,"Case of,12",£11.49,
135232,"Estrella Damm Beer 4 x 330ml,Ambient,Add to List",£21.99,,,"Case of,6",£21.99,
227837,"Heineken 0.0 Alcohol Free Premium Lager Beer 4 x 330ml,Ambient,Add to List",£12.99,,,"Case of,6",£12.99,
122351,"Heineken Lager Beer 24 x 330ml Bottles,Ambient,Add to List",£21.99,,,"Case of,24",£21.99,
184084,"Kingfisher Premium Lager Beer 650ml,Ambient,Add to List",£22.99,,,"Case of,12",£22.99,
227445,"Old Speckled Hen Gluten Free Distinctive English Pale Ale 500ml,Ambient,Add to List",£11.39,,,"Case of,8",£11.39,
240736,"Peroni Nastro Azzurro Gluten Free 330ml,Ambient,Add to List",£11.99,,,"Case of,12",£11.99,
847840,"Singha Thai Premium Lager 330ml,Ambient,Add to List",£21.99,,,"Case of,24",£21.99,
129642,"Stella Artois Lager Beer Bottles 24 x 330ml,Ambient,Add to List",£17.49,,,"Case of,24",£17.49,
70991,"Tiger Asian Lager Beer 24 x 330ml Bottles,Ambient,Add to List",£22.99,,,"Case of,24",£22.99,
233779,"Asahi Super Dry 330ml,Prices Down,Ambient,Add to List",£20.99,,,"Case of,24",£20.99,Normal WSP: £22.99 Now £20.99 SAVE £2.00
259156,"Budweiser Lager Beer Cans 10 x 440ml,Prices Down,Ambient,Add to List",£7.33,,,,£7.33,Normal WSP: £8.34 Now £7.33 SAVE £1.01
98617,"Carling Original Lager 4 x 500ml,Prices Down,Ambient,Add to List",£17.99,,,"Case of,24",£17.99,Normal WSP: £19.99 Now £17.99 SAVE £2.00
226689,"Carlsberg Lager Beer 24 x 330ml,Prices Down,Ambient,Add to List",£14.49,,,,£14.49,Normal WSP: £16.99 Now £14.49 SAVE £2.50
246753,"Carlsberg Lager Beer 4 x 568ml PMP £5.99,Prices Down,Ambient,Add to List",£19.99,,,"Case of,6",£19.99,Normal WSP: £21.99 Now £19.99 SAVE £2.00
134907,"Corona Lager Beer Bottles 4 x 330ml,Prices Down,Ambient,Add to List",£20.49,,,"Case of,6",£20.49,Normal WSP: £23.79 Now £20.49 SAVE £3.30
247149,"Holsten Pils 6 x 275ml,Prices Down,Ambient,Add to List",£12.99,,,"Case of,4",£12.99,Normal WSP: £14.49 Now £12.99 SAVE £1.50
247172,"Skol Lager 8 x 500ml,Prices Down,Ambient,Add to List",£9.29,,,"Case of,3",£9.29,Normal WSP: £9.99 Now £9.29 SAVE £0.70
259154,"Stella Artois Belgium Premium Lager 10 x 440ml,Prices Down,Ambient,Add to List",£7.33,,,,£7.33,Normal WSP: £8.34 Now £7.33 SAVE £1.01
225418,"Stella Artois Lager Beer 4 x 500ml,Prices Down,Ambient,Add to List",£19.99,,,"Case of,6",£19.99,Normal WSP: £22.99 Now £19.99 SAVE £3.00
222668,"Stella Artois Lager Beer Bottles 4 x 330ml,Prices Down,Ambient,Add to List",£15.99,,,"Case of,6",£15.99,Normal WSP: £17.49 Now £15.99 SAVE £1.50
129647,"Stella Artois Lager Beer Cans 4 x 500ml,Prices Down,Ambient,Add to List",£18.99,,,"Case of,24",£18.99,Normal WSP: £22.99 Now £18.99 SAVE £4.00
234686,"Tuborg Lager 6 x 275ml PMP £5.59,Prices Down,Ambient,Add to List",£12.99,,,"Case of,4",£12.99,Normal WSP: £14.29 Now £12.99 SAVE £1.30
247138,"Amstel Bier Lager Beer 12 x 300ml Bottles,Ambient,Add to List",£6.99,,,,£6.99,
211978,"Amstel Bier Lager Beer 650ml Bottle,Ambient,Add to List",£17.49,,,"Case of,12",£17.49,
256125,"Amstel Bier Premium Pilsener 440ml £4.75 PMP Cans,Ambient,Add to List",£18.79,,,"Case of,6",£18.79,
