additional_information,additives,alcohol_units,alcohol_volume,allergy_advice,alternative_products,beverage_type,brand,cat_id,closure_type,code,current_vintage,description,freezing_guidelines,grape_variety,img_big_guid,img_small_guid,ingredients,manufacturer,name,nutrition_notes,nutrition_table,on_offer,origin_country,pack_type,packaging,packed_country,por,prepare_and_use,producer,recycling,rrp,rt_qty,shelf_id,size,storage_information,storage_type,sub_cat_id,tasting_notes,unit_description,vat,wine_colour,wine_maker,ws_qty,wsp_exl_vat,wsp_inc_vat
,,,,,,,,,,606053,,,,,,/bbimages/1/95814873-6a29-424e-b079-aa40ef6572cd.jpg,,,Peroni Nastro Azzurro 24 x 330ml,,,,,,,,37.9%,,,,£1.69,330ml,,,,Ambient,,,,20%,,,"Case of,24",£20.99,
,,,,,,,,,,234022,,,,,,/bbimages/1/d8a1f3b8-871c-4c55-86ad-8b139d389e64.jpg,,,Budweiser Lager Beer Bottles 24 x 300ml,,,,,,,,47.0%,,,,£1.65,330ml,,,,Ambient,,,,20%,,,"Case of,24",£17.49,
,,,,,,,,,,135253,,,,,,/bbimages/1/03275ad8-f3de-41ab-b45c-58205701acf7.jpg,,,Corona Extra Lager Beer Bottles 24 x 330ml,,,,,,,,40.9%,,,,£1.69,330ml,,,,Ambient,,,,20%,,,"Case of,24",£19.99,
,,,,,,,,,,75273,,,,,,/bbimages/1/ada13e40-c5a0-41f7-aed6-f0f65814c1ec.jpg,,,Desperados Tequila Lager Beer 330ml Bottle,,,,,,,,32.2%,,,,£1.99,330ml,,,,Ambient,,,,20%,,,"Case of,24",£26.99,
,,,,,,,,,,238673,,,,,,/bbimages/1/f6bf9692-7a7d-4881-9424-a7767f54712c.jpg,,,Budweiser Lager Beer Bottles 6 x 300ml PMP £6.49,,,,,,,,26.1%,,,,£6.49,6x300ml,,,,Ambient,,,,20%,,,"Case of,4",£15.99,
,,,,,,,,,,246754,,,,,,/bbimages/1/144c0300-6944-4027-a73d-1239cbd3300c.jpg,,,Carlsberg Lager Beer 4 x 500ml PMP £5.39,,,,,,,,29.5%,,,,£5.39,4x500ml,,,,Ambient,,,,20%,,,"Case of,6",£18.99,
,,,,,,,,,,259784,,,,,,/graphics/ni/ni90.jpg,,,Heineken,,,,,,,,20.2%,,,,£5.99,4x500ml,,,,Ambient,,,,20%,,,"Case of,6",£23.89,
,,,,,,,,,,234668,,,,,,/bbimages/1/6bdc15f9-f2a3-4cd2-8045-d775364aedd7.jpg,,,Holsten Pils 4 x 500ml PMP £5.99,,,,,,,,23.2%,,,,£5.99,4x500ml,,,,Ambient,,,,20%,,,"Case of,6",£22.99,
,,,,,,,,,,11047,,,,,,/bbimages/1/a420d83e-45f9-46a7-8fcf-8b08b9211e4a.jpg,,,Holsten Pils Lager 275ml,,,,,,,,40.7%,,,,£1.39,275ml,,,,Ambient,,,,20%,,,"Case of,24",£16.49,
,,,,,,,,,,921007,,,,,,/bbimages/1/93827273-8acd-46ac-a48c-3853e781b7f7.jpg,,,San Miguel Premium Lager Beer 24 x 330ml,,,,,,,,46.3%,,,,£1.49,330ml,,,,Ambient,,,,20%,,,"Case of,24",£15.99,
,,,,,,,,,,116911,,,,,,/bbimages/1/380af3e8-c875-4c73-98a6-9cb37cc7a049.jpg,,,Beck's Blue Alcohol Free German Beer Bottles 24 x 275ml,,,,,,,,37.0%,,,,£1.19,275ml,,,,Ambient,,,,20%,,,"Case of,24",£14.99,
,,,,,,,,,,195264,,,,,,/bbimages/1/4cb76bc6-cd50-41be-8344-cd9c9b42f657.jpg,,,BrewDog Nanny State Alcohol Free Hoppy Ale 330ml,,,,,,,,36.6%,,,,£1.89,330ml,,,,Ambient,,,,20%,,,"Case of,12",£11.99,
,,,,,,,,,,195267,,,,,,/bbimages/1/c994d2fe-c299-49d8-a299-9f0af8c75feb.jpg,,,Brewdog Vagabond Pale Ale 330ml,,,,,,,,28.9%,,,,£2.25,330ml,,,,Ambient,,,,20%,,,"Case of,12",£15.99,
,,,,,,,,,,974485,,,,,,/bbimages/1/1c28490a-3fa6-44ca-bb39-e1e3123beebb.jpg,,,Budweiser Budvar Original Czech Lager 24 x 330ml,,,,,,,,34.0%,,,,£1.59,330ml,,,,Ambient,,,,20%,,,"Case of,24",£20.99,
,,,,,,,,,,205274,,,,,,/bbimages/1/718a9d18-d222-4667-aa29-8abc8071ae8d.jpg,,,Chang Classic Lager Beer 320ml,,,,,,,,27.9%,,,,£1.49,320ml,,,,Ambient,,,,20%,,,"Case of,24",£21.49,
,,,,,,,,,,195006,,,,,,/bbimages/1/4c2bc5ba-d68d-41f4-b3dd-57bda77dc681.jpg,,,Erdinger Weissbrau Alkoholfrei 50cl,,,,,,,,34.3%,,,,£1.75,50cl,,,,Ambient,,,,20%,,,"Case of,12",£11.49,
,,,,,,,,,,135232,,,,,,/bbimages/1/64d35139-be42-4cb2-baf1-514ff9136e3d.jpg,,,Estrella Damm Beer 4 x 330ml,,,,,,,,26.6%,,,,£5.99,4x330ml,,,,Ambient,,,,20%,,,"Case of,6",£21.99,
