BPLIC,alt,category,info_r1,info_r2,pack,price,promotionText
234225,"Chef's Larder 2 Ply Napkins,Cheaper By The Case,Ambient,Add to List",,,,"Case of,10",£16.99,
234226,"Chef's Larder 2 Ply Napkins,Cheaper By The Case,Ambient,Add to List",,,,,£2.99,
234186,"Chef's Essentials 1 Ply Luncheon 500 Napkins,Cheaper By The Case,Ambient,Add to List",,,,"Case of,10",£14.99,
234188,"Chef's Essentials 1 Ply Luncheon 500 Napkins,Cheaper By The Case,Ambient,Add to List",,,,,£1.69,
177217,"Chef’s Larder 125 2 Ply Napkins 40cm Square,Cheaper By The Case,Ambient,Add to List",,,,"Case of,10",£21.99,
105292,"Chef’s Larder 125 2 Ply Napkins 40cm Square,Cheaper By The Case,Ambient,Add to List",,,,,£3.99,
286751,"Chef's Larder 100m Banquet Roll,Cheaper By The Case,Ambient,Add to List",,,,"Case of,3",£30.49,
286741,"Chef's Larder 100m Banquet Roll,Cheaper By The Case,Ambient,Add to List",,,,,£16.49,
133266,"Chef's Larder 125 2 Ply Burgundy Napkins 40cm Square,Cheaper By The Case,Ambient,Add to List",,,,"Case of,10",£26.99,
105294,"Chef's Larder 125 2 Ply Burgundy Napkins 40cm Square,Cheaper By The Case,Ambient,Add to List",,,,,£5.49,
133265,"Chef's Larder 125 2 Ply Cream Napkins 40cm Square,Cheaper By The Case,Ambient,Add to List",,,,"Case of,10",£26.99,
105306,"Chef's Larder 125 2 Ply Cream Napkins 40cm Square,Cheaper By The Case,Ambient,Add to List",,,,,£5.49,
133267,"Chef's Larder 125 2 Ply Red Napkins 40cm Square,Cheaper By The Case,Ambient,Add to List",,,,"Case of,10",£26.99,
105297,"Chef's Larder 125 2 Ply Red Napkins 40cm Square,Cheaper By The Case,Ambient,Add to List",,,,,£5.49,
105092,"Chef's Larder 125 3 Ply Cream Napkins 40 cm Square,Cheaper By The Case,Ambient,Add to List",,,,"Case of,8",£25.79,
105093,"Chef's Larder 125 3 Ply Cream Napkins 40 cm Square,Cheaper By The Case,Ambient,Add to List",,,,,£6.99,
105076,"Chef's Larder 125 3 Ply Dark Blue Napkins 40cm Square,Cheaper By The Case,Ambient,Add to List",,,,"Case of,8",£25.79,
105077,"Chef's Larder 125 3 Ply Dark Blue Napkins 40cm Square,Cheaper By The Case,Ambient,Add to List",,,,,£6.99,
139754,"Chef's Larder 125 3 Ply Napkins Black 40cm Square,Cheaper By The Case,Ambient,Add to List",,,,"Case of,8",£25.79,
139755,"Chef's Larder 125 3 Ply Napkins Black 40cm Square,Cheaper By The Case,Ambient,Add to List",,,,,£6.99,
105074,"Chef's Larder 125 3 Ply Red Napkins 40cm Square,Cheaper By The Case,Ambient,Add to List",,,,"Case of,8",£25.79,
105075,"Chef's Larder 125 3 Ply Red Napkins 40cm Square,Cheaper By The Case,Ambient,Add to List",,,,,£6.99,
105068,"Chef's Larder 125 3 Ply White Napkins 40cm Square,Cheaper By The Case,Ambient,Add to List",,,,"Case of,8",£21.99,
105069,"Chef's Larder 125 3 Ply White Napkins 40cm Square,Cheaper By The Case,Ambient,Add to List",,,,,£5.29,
105099,"Chef's Larder 125 3 Ply Yellow Napkins 40cm Square,Cheaper By The Case,Ambient,Add to List",,,,"Case of,8",£25.79,
105100,"Chef's Larder 125 3 Ply Yellow Napkins 40cm Square,Cheaper By The Case,Ambient,Add to List",,,,,£6.99,
105071,"Chef's Larder 125 Burgundy 3 Ply Napkins 40cm Square,Cheaper By The Case,Ambient,Add to List",,,,"Case of,8",£25.79,
105073,"Chef's Larder 125 Burgundy 3 Ply Napkins 40cm Square,Cheaper By The Case,Ambient,Add to List",,,,,£6.99,
133268,"Chef's Larder 125 Dark Blue 2 Ply Napkins 40cm Square,Cheaper By The Case,Ambient,Add to List",,,,"Case of,10",£26.99,
105299,"Chef's Larder 125 Dark Blue 2 Ply Napkins 40cm Square,Cheaper By The Case,Ambient,Add to List",,,,,£5.49,
105078,"Chef's Larder 125 Dark Green 3 Ply Napkins 40cm Square,Cheaper By The Case,Ambient,Add to List",,,,"Case of,8",£25.79,
105079,"Chef's Larder 125 Dark Green 3 Ply Napkins 40cm Square,Cheaper By The Case,Ambient,Add to List",,,,,£6.99,
139752,"Chef's Larder 2 Ply Napkins 40cm 10 x 125,Cheaper By The Case,Ambient,Add to List",,,,"Case of,10",£26.99,
139753,"Chef's Larder 2 Ply Napkins 40cm 10 x 125,Cheaper By The Case,Ambient,Add to List",,,,,£5.49,
105277,"Chef's Larder 200 2 Ply Cream Napkins 33cm Square,Cheaper By The Case,Ambient,Add to List",,,,"Case of,10",£30.99,
105278,"Chef's Larder 200 2 Ply Cream Napkins 33cm Square,Cheaper By The Case,Ambient,Add to List",,,,,£5.49,
139756,"Chef's Larder 200 2 Ply Napkins 33cm Square,Cheaper By The Case,Ambient,Add to List",,,,"Case of,10",£30.99,
139757,"Chef's Larder 200 2 Ply Napkins 33cm Square,Cheaper By The Case,Ambient,Add to List",,,,,£5.49,
105275,"Chef's Larder 200 2 Ply Yellow Napkins 33cm Square,Cheaper By The Case,Ambient,Add to List",,,,"Case of,10",£30.99,
105276,"Chef's Larder 200 2 Ply Yellow Napkins 33cm Square,Cheaper By The Case,Ambient,Add to List",,,,,£5.49,
856559,"Chef's Larder 200 2ply Burgundy Napkins 33cm Square,Cheaper By The Case,Ambient,Add to List",,,,"Case of,10",£30.99,
856583,"Chef's Larder 200 2ply Burgundy Napkins 33cm Square,Cheaper By The Case,Ambient,Add to List",,,,,£5.49,
432190,"Chef's Larder 200 Dark Blue 2 Ply Napkins 33cm Square,Cheaper By The Case,Ambient,Add to List",,,,"Case of,10",£30.99,
432180,"Chef's Larder 200 Dark Blue 2 Ply Napkins 33cm Square,Cheaper By The Case,Ambient,Add to List",,,,,£5.49,
856500,"Chef's Larder 200 Dark Green 2 Ply Napkins 33cm Square,Cheaper By The Case,Ambient,Add to List",,,,"Case of,10",£30.99,
856542,"Chef's Larder 200 Dark Green 2 Ply Napkins 33cm Square,Cheaper By The Case,Ambient,Add to List",,,,,£5.49,
856401,"Chef's Larder 200 Red 2 Ply Napkins 33cm Square,Cheaper By The Case,Ambient,Add to List",,,,"Case of,10",£30.99,
856492,"Chef's Larder 200 Red 2 Ply Napkins 33cm Square,Cheaper By The Case,Ambient,Add to List",,,,,£5.49,
432340,"Chef's Larder 25 Red Tablecovers 90cm x 90cm,Cheaper By The Case,Ambient,Add to List",,,,"Case of,10",£59.90,
432330,"Chef's Larder 25 Red Tablecovers 90cm x 90cm,Cheaper By The Case,Ambient,Add to List",,,,,£6.29,
42838,"Chef's Larder 25 White Tablecovers 90cm x 90cm,Cheaper By The Case,Ambient,Add to List",,,,"Case of,10",£25.99,
42812,"Chef's Larder 25 White Tablecovers 90cm x 90cm,Cheaper By The Case,Ambient,Add to List",,,,,£4.99,
105576,"Chef's Larder 25m Banquet Roll,Ambient,Add to List",,,,"Case of,9",£53.01,
42697,"Chef's Larder 25m Banquet Roll,Ambient,Add to List",,,,,£5.99,
106986,"Chef's Larder 25m Banquet Roll Red,Ambient,Add to List",,,,"Case of,9",£62.90,
106987,"Chef's Larder 25m Banquet Roll Red,Ambient,Add to List",,,,,£7.29,
189622,"Chef's Larder 300 Napkins 2 Ply Black 24cm,Cheaper By The Case,Ambient,Add to List",,,,"Case of,8",£28.49,
189623,"Chef's Larder 300 Napkins 2 Ply Black 24cm,Cheaper By The Case,Ambient,Add to List",,,,,£4.99,
189608,"Chef's Larder 300 Napkins 2 Ply White 24cm,Cheaper By The Case,Ambient,Add to List",,,,"Case of,8",£25.99,
189609,"Chef's Larder 300 Napkins 2 Ply White 24cm,Cheaper By The Case,Ambient,Add to List",,,,,£4.79,
105578,"Chef's Larder 50m Banquet Roll,Cheaper By The Case,Ambient,Add to List",,,,"Case of,6",£58.99,
42648,"Chef's Larder 50m Banquet Roll,Cheaper By The Case,Ambient,Add to List",,,,,£10.99,
129846,"Compost Me Brown Recycled Napkins,Cheaper By The Case,Ambient,Add to List",,,,"Case of,10",£39.49,
129847,"Compost Me Brown Recycled Napkins,Cheaper By The Case,Ambient,Add to List",,,,,£4.99,
244342,"Duni 10 Joy Table Covers 118 x 120cm,Cheaper By The Case,Ambient,Add to List",,,,"Case of,5",£66.49,
244344,"Duni 10 Joy Table Covers 118 x 120cm,Cheaper By The Case,Ambient,Add to List",,,,,£18.49,
106486,"Duni 250 Doilies 10cm,Cheaper By The Case,Ambient,Add to List",,,,"Case of,8",£21.99,
106487,"Duni 250 Doilies 10cm,Cheaper By The Case,Ambient,Add to List",,,,,£3.29,
106503,"Duni 250 Doilies 15cm,Cheaper By The Case,Ambient,Add to List",,,,"Case of,8",£24.99,
