code,sub_cat_name,sub_cat_code
606053,Beer,CS13_200001
75273,Beer,CS13_200001
234022,Beer,CS13_200001
135253,Beer,CS13_200001
246754,Beer,CS13_200001
234668,Beer,CS13_200001
238673,Beer,CS13_200001
259784,Beer,CS13_200001
227837,Beer,CS13_200001
122351,Beer,CS13_200001
921007,Beer,CS13_200001
116911,Beer,CS13_200001
195267,Beer,CS13_200001
974485,Beer,CS13_200001
205274,Beer,CS13_200001
195006,Beer,CS13_200001
135232,Beer,CS13_200001
11047,Beer,CS13_200001
184084,Beer,CS13_200001
195264,Beer,CS13_200001
227445,Beer,CS13_200001
240736,Beer,CS13_200001
847840,Beer,CS13_200001
129642,Beer,CS13_200001
70991,Beer,CS13_200001
233777,Beer,CS13_200001
258678,Beer,CS13_200001
233157,Beer,CS13_200001
233096,Beer,CS13_200001
233112,Beer,CS13_200001
234663,Beer,CS13_200001
226689,Beer,CS13_200001
252278,Beer,CS13_200001
250722,Beer,CS13_200001
129575,Beer,CS13_200001
211479,Beer,CS13_200001
261653,Beer,CS13_200001
203627,Beer,CS13_200001
129647,Beer,CS13_200001
247138,Beer,CS13_200001
211978,Beer,CS13_200001
256125,Beer,CS13_200001
233779,Beer,CS13_200001
234098,Beer,CS13_200001
56033,Beer,CS13_200001
258676,Beer,CS13_200001
220235,Beer,CS13_200001
239506,Beer,CS13_200001
247477,Beer,CS13_200001
84876,Beer,CS13_200001
232386,Beer,CS13_200001
218118,Beer,CS13_200001
133277,Beer,CS13_200001
251964,Beer,CS13_200001
249374,Beer,CS13_200001
193682,Beer,CS13_200001
235376,Beer,CS13_200001
259156,Beer,CS13_200001
233192,Beer,CS13_200001
248226,Beer,CS13_200001
237228,Beer,CS13_200001
261557,Beer,CS13_200001
168782,Beer,CS13_200001
245986,Beer,CS13_200001
252324,Beer,CS13_200001
232763,Beer,CS13_200001
246753,Beer,CS13_200001
245982,Beer,CS13_200001
245734,Beer,CS13_200001
135560,Beer,CS13_200001
246598,Beer,CS13_200001
130543,Beer,CS13_200001
87646,Beer,CS13_200001
134907,Beer,CS13_200001
121844,Beer,CS13_200001
201424,Beer,CS13_200001
177728,Beer,CS13_200001
162663,Beer,CS13_200001
69669,Beer,CS13_200001
234339,Beer,CS13_200001
259299,Beer,CS13_200001
259757,Beer,CS13_200001
257538,Beer,CS13_200001
163581,Beer,CS13_200001
143683,Beer,CS13_200001
34634,Beer,CS13_200001
247149,Beer,CS13_200001
262593,Beer,CS13_200001
227506,Beer,CS13_200001
889253,Beer,CS13_200001
212206,Beer,CS13_200001
163994,Beer,CS13_200001
142186,Beer,CS13_200001
244332,Beer,CS13_200001
244568,Beer,CS13_200001
236886,Beer,CS13_200001
236887,Beer,CS13_200001
256684,Beer,CS13_200001
248035,Beer,CS13_200001
248036,Beer,CS13_200001
248063,Beer,CS13_200001
75806,Beer,CS13_200001
162723,Beer,CS13_200001
246229,Beer,CS13_200001
251963,Beer,CS13_200001
112355,Beer,CS13_200001
194577,Beer,CS13_200001
210966,Beer,CS13_200001
244628,Beer,CS13_200001
256127,Beer,CS13_200001
259679,Beer,CS13_200001
87242,Beer,CS13_200001
261513,Beer,CS13_200001
237097,Beer,CS13_200001
19205,Beer,CS13_200001
90305,Beer,CS13_200001
111513,Beer,CS13_200001
247172,Beer,CS13_200001
247525,Beer,CS13_200001
251463,Beer,CS13_200001
251472,Beer,CS13_200001
259154,Beer,CS13_200001
259067,Beer,CS13_200001
222668,Beer,CS13_200001
225418,Beer,CS13_200001
199712,Beer,CS13_200001
187881,Beer,CS13_200001
90082,Beer,CS13_200001
234686,Beer,CS13_200001
236264,Beer,CS13_200001
236366,Beer,CS13_200001
855213,Bitters and Ales,CS13_200010
148518,Bitters and Ales,CS13_200010
234289,Bitters and Ales,CS13_200010
102783,Bitters and Ales,CS13_200010
230829,Bitters and Ales,CS13_200010
236807,Bitters and Ales,CS13_200010
100125,Bitters and Ales,CS13_200010
99483,Bitters and Ales,CS13_200010
111152,Bitters and Ales,CS13_200010
103567,Bitters and Ales,CS13_200010
148242,Bitters and Ales,CS13_200010
100400,Bitters and Ales,CS13_200010
180357,Bitters and Ales,CS13_200010
113333,Bitters and Ales,CS13_200010
238658,Bitters and Ales,CS13_200010
254123,Bitters and Ales,CS13_200010
