barcode,code,sub_cat_code
005011295088593,2332,CS13_200410
005011295036846,50057,CS13_200410
005011295036860,50056,CS13_200410
005020379143738,239417,CS13_200410
005020379088558,193836,CS13_200410
005011295036839,50052,CS13_200410
005011295036877,50058,CS13_200410
005020379088572,193806,CS13_200410
005020379088572,193807,CS13_200410
005020379001007,85561,CS13_200410
005020379088565,193835,CS13_200410
005020379088664,193815,CS13_200410
005060312392045,200138,CS13_200410
005060312392045,200152,CS13_200410
005020379160650,259885,CS13_200410
005020379160650,259886,CS13_200410
005020379161237,261349,CS13_200410
005020379161237,261352,CS13_200410
005020379088671,193837,CS13_200410
005020379160667,260254,CS13_200410
005018811001586,182694,CS13_200410
005018811001586,182695,CS13_200410
005018811000015,182672,CS13_200410
005018811000015,182673,CS13_200410
005018811000039,182678,CS13_200410
005018811000039,182679,CS13_200410
005018811000022,182684,CS13_200410
005018811000022,182685,CS13_200410
005018811000121,182687,CS13_200410
005018811000121,182688,CS13_200410
005018811000480,182692,CS13_200410
005018811000480,182693,CS13_200410
005020379129688,229889,CS13_200410
005020379129688,230597,CS13_200410
005020379129701,229888,CS13_200410
005020379129701,230596,CS13_200410
005060312392281,187166,CS13_200410
005060312392281,187167,CS13_200410
000074472703028,190597,CS13_200410
000074472703028,190598,CS13_200410
000074472703011,190585,CS13_200410
000074472703011,190586,CS13_200410
000074472703035,190623,CS13_200410
000074472703035,190624,CS13_200410
005017600022184,212321,CS13_200380
005017600022184,212311,CS13_200380
005017600012178,212341,CS13_200380
005017600012178,212331,CS13_200380
005099869343866,261379,CS13_200380
005099869343866,261392,CS13_200380
005011295093559,102549,CS13_200380
005010825002153,989150,CS13_200380
005011295093474,102563,CS13_200380
005010825002115,989140,CS13_200380
005011295093597,102562,CS13_200380
005010825000241,989170,CS13_200380
005017600030486,60337,CS13_200380
005410438036543,196706,CS13_200380
005410438040175,232137,CS13_200380
005410438040175,232138,CS13_200380
000000080067986,606053,CS13_200001
005410438037830,205283,CS13_200380
005410438040199,232134,CS13_200380
005410438040199,232135,CS13_200380
005410438037816,205266,CS13_200380
005760466920537,184018,CS13_200380
005760466920537,184019,CS13_200380
003155930006015,75273,CS13_200001
005014379004519,234022,CS13_200001
000000075041670,135253,CS13_200001
005010153870929,246754,CS13_200001
005010153870219,234668,CS13_200001
005730800623059,209757,CS13_200380
005760466976329,131978,CS13_200380
005760466976329,132012,CS13_200380
005760466976350,132013,CS13_200380
005014379006100,238673,CS13_200001
008712000018948,259784,CS13_200001
005035766062776,236114,CS13_200001
008712000050115,227837,CS13_200001
008712000022105,122351,CS13_200001
005000104132923,921007,CS13_200001
005760466976350,132014,CS13_200380
005760466976282,132015,CS13_200380
005760466976282,132016,CS13_200380
005010652994782,515790,CS13_200380
005414150410575,256616,CS13_200380
005000181024043,126911,CS13_200380
000000042071945,116911,CS13_200001
005060154914160,195267,CS13_200001
008594403110128,974485,CS13_200001
008851994513012,205274,CS13_200001
004002103248118,195006,CS13_200001
008410793022837,135232,CS13_200001
005000181024050,126931,CS13_200380
005016860000178,223704,CS13_200380
005016860000178,249735,CS13_200380
005016860639286,223699,CS13_200380
005016860639286,249732,CS13_200380
005010153738472,11047,CS13_200001
005035766060949,184084,CS13_200001
005060154910674,195264,CS13_200001
005010549006925,227445,CS13_200001
008008440212313,240736,CS13_200001
008850999112107,847840,CS13_200001
005016860000475,240643,CS13_200380
005016860000475,249738,CS13_200380
005010825003945,171641,CS13_200380
005010825003945,171631,CS13_200380
005010017109769,129642,CS13_200001
005035766060406,70991,CS13_200001
008008440549426,233777,CS13_200001
005014379010954,258678,CS13_200001
005014379004694,233157,CS13_200001
005014379004533,233096,CS13_200001
005411188083191,178862,CS13_200385
005411188083191,92988,CS13_200385
005411188132110,257804,CS13_200385
005016860959483,223664,CS13_200380
005016860959483,249733,CS13_200380
004025500236328,263357,CS13_200380
004025500236366,263358,CS13_200380
004025500236366,237638,CS13_200380
004025500236366,238862,CS13_200380
005014379005080,233112,CS13_200001
005010153870134,234663,CS13_200001
005016325848666,226689,CS13_200001
008712000053116,252278,CS13_200001
005010153771622,250722,CS13_200001
005010017109714,129575,CS13_200001
005411188132110,257805,CS13_200385
005411188110835,144638,CS13_200385
005411188110835,144639,CS13_200385
005411188112709,184058,CS13_200385
005411188112709,184059,CS13_200385
005013803801601,229691,CS13_200380
005013803991067,110914,CS13_200380
005013803801502,229061,CS13_200380
005013803991043,110912,CS13_200380
005013803801403,229681,CS13_200380
005013803991050,110933,CS13_200380
005010017117900,211479,CS13_200001
005014379011739,261653,CS13_200001
005014379109740,203627,CS13_200001
005010017109851,129647,CS13_200001
005016878012156,246316,CS13_200001
005411188125341,241458,CS13_200385
005411188125341,232923,CS13_200385
005411188119753,235076,CS13_200385
005411188119753,198673,CS13_200385
005411188115434,184108,CS13_200385
005411188115434,184109,CS13_200385
005060402903830,222336,CS13_200380
005099869343842,261377,CS13_200380
005099869343842,261378,CS13_200380
005060402903892,222346,CS13_200380
005060122034401,129334,CS13_200380
005035766063322,247138,CS13_200001
005035766061175,211978,CS13_200001
005035766063933,256125,CS13_200001
008008440249128,233779,CS13_200001
008008440249272,234098,CS13_200001
005023625002612,56033,CS13_200001
005411188115366,226268,CS13_200385
005411188115366,226269,CS13_200385
005411188079996,179685,CS13_200385
005411188079996,140626,CS13_200385
005411188124689,252348,CS13_200385
005060402903816,222442,CS13_200380
005060402903793,222444,CS13_200380
005060402903854,222447,CS13_200380
005010652994867,515770,CS13_200380
005010652994607,515730,CS13_200380
005014379010862,258676,CS13_200001
004100130924002,220235,CS13_200001
005014379010978,261652,CS13_200001
005014379006087,239506,CS13_200001
005035766062578,247477,CS13_200001
008001435310018,84876,CS13_200001
005411188124689,252349,CS13_200385
005000181029161,145203,CS13_200385
005000181029161,145204,CS13_200385
005000181030907,145206,CS13_200385
005000181030907,145207,CS13_200385
007394376616228,247156,CS13_200385
005000128495011,355180,CS13_200380
005000128495011,355149,CS13_200380
005000128003940,335398,CS13_200380
005000128003940,335208,CS13_200380
005060402905704,234974,CS13_200380
005410438040212,232174,CS13_200380
005035766062530,232386,CS13_200001
008006890628180,218118,CS13_200001
005010017093181,133277,CS13_200001
005056025421400,251964,CS13_200001
005014379008807,249374,CS13_200001
007394376616228,247182,CS13_200385
005410438040212,232175,CS13_200380
005410438037793,205282,CS13_200380
005410438036482,196705,CS13_200380
005410438041875,255377,CS13_200380
008594403110111,193682,CS13_200001
005014379004885,235376,CS13_200001
005014379005103,259156,CS13_200001
005014379004502,233192,CS13_200001
005014379013740,263735,CS13_200001
005410438036420,196704,CS13_200380
005010038441893,248226,CS13_200001
005010038444252,237228,CS13_200001
005010038468104,261557,CS13_200001
005010038442050,168782,CS13_200001
005010153870714,245986,CS13_200001
005010153871216,252324,CS13_200001
005016325849144,232763,CS13_200001
005010153870936,246753,CS13_200001
005010153870899,245982,CS13_200001
005010038462409,245734,CS13_200001
005010038468029,263867,CS13_200001
005010038443057,135560,CS13_200001
005010038464458,246598,CS13_200001
000000075040987,130543,CS13_200001
007501064193040,87646,CS13_200001
007501064193101,134907,CS13_200001
003155930001300,121844,CS13_200001
008712000037321,201424,CS13_200001
003155930005568,177728,CS13_200001
008690520510190,162663,CS13_200001
008690520035587,69669,CS13_200001
004002103000013,102498,CS13_200001
008410793282965,234339,CS13_200001
005035766181279,259299,CS13_200001
005010055100001,259757,CS13_200001
005035766185048,256124,CS13_200001
005035766063919,257538,CS13_200001
008712000022662,163581,CS13_200001
008712000022655,143683,CS13_200001
008712000022549,34634,CS13_200001
005010153871032,247149,CS13_200001
005000213024614,262593,CS13_200001
005000213020302,227506,CS13_200001
005012686009807,889253,CS13_200001
005035766381402,212206,CS13_200001
005035766381426,163994,CS13_200001
005035766381297,142186,CS13_200001
005035766382157,244332,CS13_200001
005035766382140,244568,CS13_200001
005901359074658,236886,CS13_200001
005901359074634,236887,CS13_200001
005010017036799,256684,CS13_200001
005020379147996,248035,CS13_200001
005020379147972,248036,CS13_200001
005020379147958,248063,CS13_200001
005201309608071,75806,CS13_200001
005201309608019,162723,CS13_200001
008718104916319,246229,CS13_200001
008008440112507,251963,CS13_200001
008008440122216,112355,CS13_200001
008008440212214,194577,CS13_200001
008008440512420,210966,CS13_200001
005035766062660,244628,CS13_200001
005035766063902,256127,CS13_200001
008712000052058,259679,CS13_200001
005010103941891,239119,CS13_200001
005601146003013,87242,CS13_200001
8410655003523,1017375,CS13_200001
008410655003653,261513,CS13_200001
005010153870349,237097,CS13_200001
005000104132763,19205,CS13_200001
005010153773671,90305,CS13_200001
008850999111001,111513,CS13_200001
005010153871049,247172,CS13_200001
005035766063445,247525,CS13_200001
005035766063438,251463,CS13_200001
008712000054960,251472,CS13_200001
005014379012866,263576,CS13_200001
005010017109233,259154,CS13_200001
005014379012958,263872,CS13_200001
005010017109912,259067,CS13_200001
005014379002751,222668,CS13_200001
005014379003475,225418,CS13_200001
005601164254466,199712,CS13_200001
005035766060468,187881,CS13_200001
006901035601030,90082,CS13_200001
006901035603010,63237,CS13_200001
005010153870059,234686,CS13_200001
005901359074573,236264,CS13_200001
005901359074481,236366,CS13_200001
005901359074184,253499,CS13_200001
005020379137300,233728,CS13_200350
005020379137300,233729,CS13_200350
005019432446770,107898,CS13_200350
005019432446770,107899,CS13_200350
005015095001219,243293,CS13_200350
005015095001219,202046,CS13_200350
005018095001227,202027,CS13_200350
005018095001227,202029,CS13_200350
005018095001173,202025,CS13_200350
005018095001173,202026,CS13_200350
005018095192444,155126,CS13_200350
005018095192444,155919,CS13_200350
005018095001265,202047,CS13_200350
005018095001265,202048,CS13_200350
005018095189246,155128,CS13_200350
005018095189246,155922,CS13_200350
005018095189499,155137,CS13_200350
005018095189499,155928,CS13_200350
005018095000138,155149,CS13_200350
005018095000138,155943,CS13_200350
005018095000091,155153,CS13_200350
005018095000091,155946,CS13_200350
005020379071673,164774,CS13_200350
005020379071673,164775,CS13_200350
005020379058353,138597,CS13_200350
005020379058353,138598,CS13_200350
005020379060677,141752,CS13_200350
005020379060677,141753,CS13_200350
005020379060691,141688,CS13_200350
005020379060691,141690,CS13_200350
005020379089340,198984,CS13_200350
005020379089340,198985,CS13_200350
005020379060714,141742,CS13_200350
005020379060714,141743,CS13_200350
005020379060738,141748,CS13_200350
