code,image,name,price,cat
194855,https://www.booker.co.uk/bbimages/1/5a60ccb7-88a4-4ad2-ace4-55c56d166e11.jpg,Belvita Breakfast Biscuits Duo Crunch Strawberry and Live Yogurt 60p 50.6g,0.6,Biscuit Bars
263028,https://www.booker.co.uk/bbimages/1/874b3c9d-cf4a-44d9-8f62-82e0a7062d1b.jpg,Belvita Breakfast Biscuits Honey and Nuts with Choc Chips 60p 50g,0.6,Biscuit Bars
241748,https://www.booker.co.uk/bbimages/1/0d8d83e9-cbe4-4804-8d60-2aeb3bdf793b.jpg,Belvita Breakfast Biscuits Soft Bakes Choc Chips 250g,2.89,Biscuit Bars
215155,https://www.booker.co.uk/bbimages/1/a42f3b53-f01a-4f5c-b992-c1b928b52f76.jpg,Belvita Breakfast Biscuits Soft Bakes Choc Chips 60p 50g,0.6,Biscuit Bars
244718,https://www.booker.co.uk/bbimages/1/bb425627-d344-44c0-949a-6698d7f04f2c.jpg,Cadbury Brunch Bar Choc Chip 6 Pack 192g,1.99,Biscuit Bars
256288,https://www.booker.co.uk/bbimages/1/ef944159-1762-4d72-a08c-4f55812d91e4.jpg,Cadbury Choc Chip Brunch Bar 32g,0.65,Biscuit Bars
237637,https://www.booker.co.uk/bbimages/1/021a1ac6-a401-4ce9-9c22-ba1597fd2e12.jpg,Cadbury Snack Shortcake Chocolate Biscuit 40g,0.65,Biscuit Bars
217709,https://www.booker.co.uk/bbimages/1/ade19fe1-11eb-404a-ab5e-82306ad2c423.jpg,Eat Natural Fruit & Nut Bar Almond & Apricot with a Yoghurt Coating 50g,0.89,Biscuit Bars
263423,https://www.booker.co.uk/bbimages/1/119802e4-b90a-4813-89fe-d31fca31efe8.jpg,Eat Natural Fruit & Nut Bar Dark Chocolate with Cranberries and Macadamias 45g,0.89,Biscuit Bars
263424,https://www.booker.co.uk/bbimages/1/119802e4-b90a-4813-89fe-d31fca31efe8.jpg,Eat Natural Fruit & Nut Bar Dark Chocolate with Cranberries and Macadamias 45g,0.89,Biscuit Bars
217478,https://www.booker.co.uk/bbimages/1/cf8f2c11-b6fd-46c9-bd45-d52355ae5ab1.jpg,Eat Natural Protein Packed Crunchy Nut Bar with Peanuts and Chocolate 45g,0.89,Biscuit Bars
253959,https://www.booker.co.uk/bbimages/1/8a8d3297-05b3-4d29-b11d-f6c49fc06332.jpg,Euro Shopper Chocolate Peanut Protein Bar 65g,1.0,Biscuit Bars
253958,https://www.booker.co.uk/bbimages/1/7ceb5532-1a79-42ea-b26d-77196303b983.jpg,Euro Shopper Protein Bar Salted Caramel 65g,1.0,Biscuit Bars
252022,https://www.booker.co.uk/bbimages/1/5b2dc5b1-cde1-4a5e-809e-622087085193.jpg,Fibre One 90 Calorie Chocolate Fudge High Fibre Brownie 24g,0.59,Biscuit Bars
66814,https://www.booker.co.uk/bbimages/1/7a27d620-12e8-4e01-83a7-31d51a813c99.jpg,Go Ahead Yogurt Breaks Strawberry Biscuits Bars 2 Pack,0.69,Biscuit Bars
253774,https://www.booker.co.uk/bbimages/1/adbe675e-28eb-4e73-a3fb-eeef8bd66fcb.jpg,Grenade Carb Killa Dark Chocolate Raspberry 60g,2.49,Biscuit Bars
253756,https://www.booker.co.uk/bbimages/1/3f2a827d-cd0f-4d0c-b8a4-b4dd75320f8a.jpg,Grenade Carb Killa High Protein Bar Birthday Cake 60g,2.49,Biscuit Bars
253754,https://www.booker.co.uk/bbimages/1/7f8a0844-93d6-4f10-9fd4-def10abd5dad.jpg,Grenade Carb Killa High Protein Bar Caramel Chaos 60g,2.49,Biscuit Bars
253842,https://www.booker.co.uk/bbimages/1/3046715b-7c35-4cbc-9b4e-70125e8e57b5.jpg,Grenade Carb Killa High Protein Bar Chocolate Chip Cookie Dough 60g,2.49,Biscuit Bars
253759,https://www.booker.co.uk/bbimages/1/64846bfe-aac9-4827-a76b-4d04e5886a8b.jpg,Grenade Carb Killa High Protein Bar Cookies & Cream 60g,2.49,Biscuit Bars
253752,https://www.booker.co.uk/bbimages/1/2a4aed91-d13f-4839-a7a8-3c2a23ebd634.jpg,Grenade Carb Killa High Protein Bar Peanut Nutter 60g,2.49,Biscuit Bars
253746,https://www.booker.co.uk/bbimages/1/6b9da826-a048-4939-89d5-d80d36c9a535.jpg,Grenade Carb Killa High Protein Bar White Chocolate Cookie 60g,2.49,Biscuit Bars
253776,https://www.booker.co.uk/bbimages/1/fb2656ca-8100-4792-bddf-8e27fc660512.jpg,Grenade Carb Killa White Chocolate Salted Peanut 60g,2.49,Biscuit Bars
258388,https://www.booker.co.uk/bbimages/1/ea35459d-c2aa-4f1e-aa30-b11121dd4a59.jpg,Kellogg's Coco Pops 20g,0.59,Biscuit Bars
258387,https://www.booker.co.uk/bbimages/1/3aa40c0b-2986-4ced-a3ef-5723420e137a.jpg,Kellogg's Nutri-Grain Bakes Raisin 45g,0.59,Biscuit Bars
258854,https://www.booker.co.uk/bbimages/1/6c1e2a58-44c3-4b16-8615-601a0edc2371.jpg,Kellogg's Nutri-Grain Bars Apple 37g,0.59,Biscuit Bars
258842,https://www.booker.co.uk/bbimages/1/1fbd4389-c169-4184-b315-67a6de353bdb.jpg,Kellogg's Nutri-Grain Breakfast Fruity Bars Strawberry 37g,0.59,Biscuit Bars
258383,https://www.booker.co.uk/bbimages/1/94fa922a-d237-4b31-bf69-b269f489da06.jpg,Kellogg's Rice Krispies Squares Chocolate 36g (1080g),0.59,Biscuit Bars
258382,https://www.booker.co.uk/bbimages/1/fc0789d8-65f5-4ab7-ae83-e8e353ea2a1c.jpg,Kellogg's Rice Krispies Squares Marshmallow 28g (840g),0.59,Biscuit Bars
246569,https://www.booker.co.uk/bbimages/1/e221ed0c-0f0a-4d6e-bce5-a752fcd710c2.jpg,KIND Caramel Almond & Sea Salt Snack Bar 40g,1.49,Biscuit Bars
245432,https://www.booker.co.uk/bbimages/1/31f5288b-7a42-4bdb-a917-fdf502a774e1.jpg,Kind Dark Chocolate Nuts & Sea Salt Snack Bar 40g,1.49,Biscuit Bars
234387,https://www.booker.co.uk/bbimages/1/9796b93f-22b5-4b1d-b894-3ddf0b818cb4.jpg,McVitie's Jaffa Cakes Chocolate & Orange 20 Pack,0.69,Biscuit Bars
263634,https://www.booker.co.uk/bbimages/1/b505edd8-53ba-49e0-bf7e-4dbc07ad5580.jpg,Mikado Milk Chocolate Biscuits 60p 39g,0.6,Biscuit Bars
242653,https://www.booker.co.uk/bbimages/1/c146cdd6-9d1f-4fec-95dc-014a39477ade.jpg,Nakd Blueberry Muffin Fruit & Nut Bar 35g,0.85,Biscuit Bars
217763,https://www.booker.co.uk/bbimages/1/fb94cd5a-f597-45c7-80d7-57b97f5c0b14.jpg,Nakd Cocoa Orange Fruit & Nut Bar 35g,0.85,Biscuit Bars
236605,https://www.booker.co.uk/bbimages/1/5868a55f-21a7-4ee8-9eed-b729241f5dc9.jpg,Nakd Peanut Delight Fruit & Peanut Bar 35g,0.85,Biscuit Bars
175575,https://www.booker.co.uk/bbimages/1/2801a330-75b1-46f3-b053-8335be37f842.jpg,Nature Valley CRUNCHY Canadian Maple Syrup Cereal Bar - Price Marked 42g,0.59,Biscuit Bars
175573,https://www.booker.co.uk/bbimages/1/5bff5d38-085f-4458-9061-b70e8daf70e9.jpg,Nature Valley CRUNCHY Oats & Dark Chocolate Cereal Bar - Price Marked 42g,0.59,Biscuit Bars
175572,https://www.booker.co.uk/bbimages/1/13b0c049-5e0b-4a83-9b4a-88e66e4b5d5f.jpg,Nature Valley CRUNCHY Oats & Honey Cereal Bar - Price Marked 42g,0.59,Biscuit Bars
224313,https://www.booker.co.uk/bbimages/1/2d59055f-c878-49b8-8cdd-d0254ca2a701.jpg,Nature Valley Protein Peanut & Chocolate Cereal Bar 40g,0.85,Biscuit Bars
224312,https://www.booker.co.uk/bbimages/1/a8d4c691-4ad1-4b77-b370-895581824d0f.jpg,Nature Valley Protein Salted Caramel Nut Cereal Bar 40g,0.85,Biscuit Bars
230386,https://www.booker.co.uk/bbimages/1/fd58a21d-cfe2-4fe6-81f2-f7756598dfa5.jpg,Quaker Porridge To Go Golden Syrup Breakfast Bar 55g,0.75,Biscuit Bars
