additional_information,additives,alcohol_units,alcohol_volume,allergy_advice,alternative_products,beverage_type,brand,cat_code,cat_name,closure_type,code,current_vintage,description,freezing_guidelines,grape_variety,img_big_guid,img_small_guid,ingredients,manufacturer,name,nutrition_notes,nutrition_table,on_offer,origin_country,pack_type,packaging,packed_country,por,prepare_and_use,producer,recycling,rrp,rt_qty,shelf_id,size,storage_information,storage_type,sub_cat_code,sub_cat_name,tasting_notes,unit_description,vat,wine_colour,wine_maker,ws_qty,wsp_exl_vat,wsp_inc_vat
,,,,,,,,,,,131355,,,,,,/bbimages/1/d2928a9f-e782-40af-a9bc-c4f06ca3548d.jpg,,,Chef's Larder Premium Luxury Chocolate Fudge Cake (Pre-Sliced),,,,,,,,,,,,,14ptn,,,,Frozen,CS13_200460,,,,0%,,,"Case of,6",£47.89,
,,,,,,,,,,,131356,,,,,,/bbimages/1/d2928a9f-e782-40af-a9bc-c4f06ca3548d.jpg,,,Chef's Larder Premium Luxury Chocolate Fudge Cake (Pre-Sliced),,,,,,,,,,,,,14ptn,,,,Frozen,CS13_200460,,,,0%,,,,£7.99,
,,,,,,,,,,,252784,,,,,,/bbimages/1/ca708962-804d-409b-baa3-0cd83bc7cf3d.jpg,,,Chef's Larder Premium Luxury Baked New York Vanilla Cheesecake 2.1kg,,,,,,,,,,,,,16ptn,,,,Frozen,CS13_200460,,,,0%,,,"Case of,6",£89.89,
,,,,,,,,,,,252785,,,,,,/bbimages/1/ca708962-804d-409b-baa3-0cd83bc7cf3d.jpg,,,Chef's Larder Premium Luxury Baked New York Vanilla Cheesecake 2.1kg,,,,,,,,,,,,,16ptn,,,,Frozen,CS13_200460,,,,0%,,,,£14.99,
,,,,,,,,,,,253437,,,,,,/graphics/ni/ni90.jpg,,,Greens Summer Berry Mix,,,,,,,,,,,,,1kg,,,,Frozen,CS13_200460,,,,0%,,,"Case of,5",£21.45,
,,,,,,,,,,,754002,,,,,,/bbimages/1/3183ddec-9e53-4e14-8e9c-0480203cc991.jpg,,,CKT Leg of Lamb (NZ),,,,,,,,,,,,,22.63kg,,,,Frozen,CS13_200530,,,,0%,,,,£6.99/Kg,
,,,,,,,,,,,253438,,,,,,/graphics/ni/ni90.jpg,,,Greens Summer Berry Mix,,,,,,,,,,,,,1kg,,,,Frozen,CS13_200460,,,,0%,,,,£4.29,
,,,,,,,,,,,142578,,,,,,/bbimages/1/6b7f97cf-3fa0-4d89-a43e-86d847ecff53.jpg,,,Chef's Larder Diced Lamb 2kg,,,,,,,,,,,,,2kg,,,,Frozen,CS13_200530,,,,0%,,,"Case of,6",£71.94,
,,,,,,,,,,,192024,,,,,,/bbimages/1/cce43da9-100e-4b35-ac79-eb3c35b13cec.jpg,,,Apple Pie 1.1kg,,,,,,,,,,,,,10/12pt,,,,Frozen,CS13_200460,,,,0%,,,"Case of,6",£34.69,
,,,,,,,,,,,142579,,,,,,/bbimages/1/6b7f97cf-3fa0-4d89-a43e-86d847ecff53.jpg,,,Chef's Larder Diced Lamb 2kg,,,,,,,,,,,,,2kg,,,,Frozen,CS13_200530,,,,0%,,,,£11.99,
