code,img_small_url,name,por,rrp,rt_qty,storage_type,sub_cat_code,vat,ws_qty,wsp_exl_vat
142608,https://www.booker.co.uk/bbimages/1/fc0650a4-2d41-4a7e-9081-3a97307b93ad.jpg,Chef's Larder Diced Beef 2kg,,,2kg,Frozen,CS13_200520,0,6,65.94
142609,https://www.booker.co.uk/bbimages/1/fc0650a4-2d41-4a7e-9081-3a97307b93ad.jpg,Chef's Larder Diced Beef 2kg,,,2kg,Frozen,CS13_200520,0,,10.99
142574,https://www.booker.co.uk/bbimages/1/588b3392-3728-428f-ae30-c27cfe80be74.jpg,Chef's Larder Diced Beef Steak & Kidney 2kg,,,2kg,Frozen,CS13_200520,0,6,59.94
142575,https://www.booker.co.uk/bbimages/1/588b3392-3728-428f-ae30-c27cfe80be74.jpg,Chef's Larder Diced Beef Steak & Kidney 2kg,,,2kg,Frozen,CS13_200520,0,,9.99
142526,https://www.booker.co.uk/bbimages/1/fcaeb4ac-1dde-46ed-8456-25c23dee594f.jpg,Chef's Larder Minced Beef 2.25kg,,,2.25kg,Frozen,CS13_200520,0,6,65.94
142527,https://www.booker.co.uk/bbimages/1/fcaeb4ac-1dde-46ed-8456-25c23dee594f.jpg,Chef's Larder Minced Beef 2.25kg,,,2.25kg,Frozen,CS13_200520,0,,10.99
52777,https://dcveehzef7grj.cloudfront.net/img/smb/no-image-250.png,Imported Beef Ribeye,,,14kg,Frozen,CS13_200520,0,,7.99/Kg
587580,https://dcveehzef7grj.cloudfront.net/img/smb/no-image-250.png,Imported C/Off Beef Fillet,,,15kg,Frozen,CS13_200520,0,,15.99/Kg
242874,https://www.booker.co.uk/bbimages/1/b59698d1-050c-4e46-b929-3521790e7182.jpg,Happy Shopper Minced Beef 400g,30,2.5,400g,Frozen,CS13_200520,0,8,14
242876,https://www.booker.co.uk/bbimages/1/b59698d1-050c-4e46-b929-3521790e7182.jpg,Happy Shopper Minced Beef 400g,30,2.5,400g,Frozen,CS13_200520,0,,1.75
199064,https://dcveehzef7grj.cloudfront.net/img/smb/no-image-250.png,Supertops Spicy Beef Chunks,,,1kg,Frozen,CS13_200520,0,10,64.89
214828,https://dcveehzef7grj.cloudfront.net/img/smb/no-image-250.png,Supertops Spicy Beef Chunks,,,1kg,Frozen,CS13_200520,0,,6.49
175499,https://www.booker.co.uk/bbimages/1/ac50a78a-21b9-4025-8ea1-db7e7c88a702.jpg,Chef's Larder 20 Yorkshire Puddings 560g,,,20pk,Frozen,CS13_200440,0,3,5.49
175500,https://www.booker.co.uk/bbimages/1/ac50a78a-21b9-4025-8ea1-db7e7c88a702.jpg,Chef's Larder 20 Yorkshire Puddings 560g,,,20pk,Frozen,CS13_200440,0,,2.09
490310,https://www.booker.co.uk/bbimages/1/50432ca1-8723-4ded-9a22-f758bf4e2681.jpg,Chef's Larder 48 Floured Baps,,,48spk,Frozen,CS13_200440,0,,8.39
205705,https://www.booker.co.uk/bbimages/1/280a19a8-b575-471e-9a38-6c2f2d2d4f47.jpg,Chef's Larder Premium 60 Mini Artisan Bread Rolls,,,60s,Frozen,CS13_200440,0,,11.99
190852,https://www.booker.co.uk/bbimages/1/d1a7c5ba-aca4-4189-b33c-fd53f7989261.jpg,Bakers Best Chicken & Mushroom Deep Fill Pies 6 x 230g,,,6x230g,Frozen,CS13_200440,0,8,51.09
190853,https://www.booker.co.uk/bbimages/1/d1a7c5ba-aca4-4189-b33c-fd53f7989261.jpg,Bakers Best Chicken & Mushroom Deep Fill Pies 6 x 230g,,,6x230g,Frozen,CS13_200440,0,,6.39
236723,https://www.booker.co.uk/bbimages/1/b589740f-6fe5-416b-a9fd-580620111b0f.jpg,Bakers Best Chicken Bake 24 x 155g (3.72kg),68.2,35.76,24x155g,Frozen,CS13_200440,0,,11.39
190854,https://www.booker.co.uk/bbimages/1/9fa01b0b-8e3f-46b2-a0c8-bee98a2fc7d0.jpg,Bakers Best Jumbo Sausage Rolls 6 x 170g,,,6x170g,Frozen,CS13_200440,0,8,37.49
190855,https://www.booker.co.uk/bbimages/1/9fa01b0b-8e3f-46b2-a0c8-bee98a2fc7d0.jpg,Bakers Best Jumbo Sausage Rolls 6 x 170g,,,6x170g,Frozen,CS13_200440,0,,4.69
236725,https://www.booker.co.uk/bbimages/1/3807d332-ed82-4b88-b497-c98318587f89.jpg,Bakers Best Sausage Roll 40 x 120g (4.8kg),74.8,39.6,40x120g,Frozen,CS13_200440,0,,9.99
190779,https://www.booker.co.uk/bbimages/1/06e65b6e-98bb-427e-83f2-62d88128e715.jpg,Bakers Best Steak & Gravy Deep Fill Pies 6 x 230g,,,6x230g,Frozen,CS13_200440,0,8,51.09
190842,https://www.booker.co.uk/bbimages/1/06e65b6e-98bb-427e-83f2-62d88128e715.jpg,Bakers Best Steak & Gravy Deep Fill Pies 6 x 230g,,,6x230g,Frozen,CS13_200440,0,,6.39
236722,https://www.booker.co.uk/bbimages/1/0689e0b5-92e0-408d-9b28-7b01012ad1c0.jpg,Bakers Best Steak Bake 24 x 155g (3.72kg),65.1,42.96,24x155g,Frozen,CS13_200440,0,,14.99
218828,https://www.booker.co.uk/bbimages/1/0304e94b-7d5f-4c96-880d-af92f2fac54a.jpg,Chef's Essentials 48 Plain White Baps,,,48x87g,Frozen,CS13_200440,0,,5.99
175544,https://www.booker.co.uk/bbimages/1/a6b1d772-580f-4e6b-b284-045b253afd82.jpg,Chef's Larder 10 Large Yorkshire Puddings 1150g,,,10x115g,Frozen,CS13_200440,0,,5.99
