"case","code","img_small","por","rrp","sub_cat_code","temperature","wsp"
"6","256182","https://media.booker.co.uk/1/4a664900-8cd5-4c80-8331-d1106e9cf862.jpg","","","CS13_200470","Frozen"," 173.89"
"","256183","https://media.booker.co.uk/1/4a664900-8cd5-4c80-8331-d1106e9cf862.jpg","","","CS13_200470","Frozen"," 32.99"
"12","281595","https://media.booker.co.uk/1/35559d63-72ee-4634-948b-a7fcc94c8448.jpg","","","CS13_200470","Frozen"," 131.88"
"","281596","https://media.booker.co.uk/1/35559d63-72ee-4634-948b-a7fcc94c8448.jpg","","","CS13_200470","Frozen"," 10.99"
"","260743","https://media.booker.co.uk/1/9b6b7439-ec1f-4548-8287-ba7f0b25ba7e.jpg","","","CS13_200470","Frozen"," 12.49"
"10","201001","https://media.booker.co.uk/1/058fc7dd-4e06-4d5e-a767-6a6d14542049.jpg","","","CS13_200470","Frozen"," 139.89"
"","200991","https://media.booker.co.uk/1/058fc7dd-4e06-4d5e-a767-6a6d14542049.jpg","","","CS13_200470","Frozen"," 13.99"
"10","260272","https://media.booker.co.uk/1/6f71baa2-297e-43ab-80b0-d2f4cc3d00cf.jpg","","","CS13_200470","Frozen"," 99.89"
"","272635","https://media.booker.co.uk/1/6f71baa2-297e-43ab-80b0-d2f4cc3d00cf.jpg","","","CS13_200470","Frozen"," 9.99"
"","286438","https://media.booker.co.uk/1/2cbe740d-da9b-4ef2-b244-a448d1134d56.jpg","","","CS13_200470","Frozen"," 21.99"
"12","286974","https://media.booker.co.uk/1/97b0f78c-3359-4f6a-b0ed-4400b34e9190.jpg","20.2","1.69","CS13_200470","Frozen"," 16.19"
"","286975","https://media.booker.co.uk/1/97b0f78c-3359-4f6a-b0ed-4400b34e9190.jpg","20.1","1.69","CS13_200470","Frozen"," 1.35"
"8","281615","https://media.booker.co.uk/1/5d665c05-141d-4c5d-a54a-8820d61a5841.jpg","20.5","2.75","CS13_200470","Frozen"," 17.49"
"","281616","https://media.booker.co.uk/1/5d665c05-141d-4c5d-a54a-8820d61a5841.jpg","20.4","2.75","CS13_200470","Frozen"," 2.19"
"8","285455","https://media.booker.co.uk/1/7e21dcdb-47ff-4347-bdd2-e34dbdacc9bd.jpg","24.4","3.29","CS13_200470","Frozen"," 19.89"
"","285456","https://media.booker.co.uk/1/7e21dcdb-47ff-4347-bdd2-e34dbdacc9bd.jpg","24.3","3.29","CS13_200470","Frozen"," 2.49"
"6","272003","https://media.booker.co.uk/1/117ccc60-279d-4558-be32-25a501959e32.jpg","20.0","6.85","CS13_200470","Frozen"," 32.89"
"","279439","https://media.booker.co.uk/1/117ccc60-279d-4558-be32-25a501959e32.jpg","19.9","6.85","CS13_200470","Frozen"," 5.49"
"12","288858","https://media.booker.co.uk/1/131061b0-9052-47c5-8ee6-50242f010a83.jpg","","","CS13_200470","Frozen"," 28.65"
"","288859","https://media.booker.co.uk/1/131061b0-9052-47c5-8ee6-50242f010a83.jpg","","","CS13_200470","Frozen"," 2.39"
"10","285317","https://media.booker.co.uk/1/6ce82a00-0e54-49da-9589-6d2ab15a274b.jpg","","","CS13_200470","Frozen"," 109.89"
"","285318","https://media.booker.co.uk/1/6ce82a00-0e54-49da-9589-6d2ab15a274b.jpg","","","CS13_200470","Frozen"," 10.99"
"8","280683","https://media.booker.co.uk/1/0f74b7b9-5e78-4a45-8ba2-c0082d3385b6.jpg","","","CS13_200470","Frozen"," 199.89"
"","280684","https://media.booker.co.uk/1/0f74b7b9-5e78-4a45-8ba2-c0082d3385b6.jpg","","","CS13_200470","Frozen"," 24.99"
"6","210398","https://media.booker.co.uk/1/96042607-668f-47e2-982b-e1f1c612c578.jpg","","","CS13_200470","Frozen"," 103.09"
"","210399","https://media.booker.co.uk/1/96042607-668f-47e2-982b-e1f1c612c578.jpg","","","CS13_200470","Frozen"," 17.19"
"6","259936","https://media.booker.co.uk/1/4b884035-3824-4342-9125-4375e5ea7901.jpg","","","CS13_200470","Frozen"," 69.54"
"","259938","https://media.booker.co.uk/1/4b884035-3824-4342-9125-4375e5ea7901.jpg","","","CS13_200470","Frozen"," 11.59"
"10","156657","https://media.booker.co.uk/1/5fdff246-193c-4ddd-902c-709a1cc371b4.jpg","","","CS13_200470","Frozen"," 59.89"
"","156658","https://media.booker.co.uk/1/5fdff246-193c-4ddd-902c-709a1cc371b4.jpg","","","CS13_200470","Frozen"," 5.99"
"8","280676","https://media.booker.co.uk/1/18a76740-502e-494e-95b2-436038dfdeff.jpg","","","CS13_200470","Frozen"," 303.89"
"","280678","https://media.booker.co.uk/1/18a76740-502e-494e-95b2-436038dfdeff.jpg","","","CS13_200470","Frozen"," 37.99"
"","260742","https://media.booker.co.uk/1/3c701ccb-0b5d-4c65-a60d-4d55ece91690.jpg","","","CS13_200470","Frozen"," 14.49"
"","260744","https://media.booker.co.uk/1/931abdac-5a5f-4b5c-b65b-a60c870df0bf.jpg","","","CS13_200470","Frozen"," 12.79"
"6","201021","https://media.booker.co.uk/1/186c3e4c-a241-4ed7-96d4-db8223991944.jpg","","","CS13_200470","Frozen"," 138.99"
"","201011","https://media.booker.co.uk/1/186c3e4c-a241-4ed7-96d4-db8223991944.jpg","","","CS13_200470","Frozen"," 23.19"
"6","256178","https://media.booker.co.uk/1/3952c548-9351-4d20-affc-d3c93db9b24a.jpg","","","CS13_200470","Frozen"," 209.94"
"","256179","https://media.booker.co.uk/1/3952c548-9351-4d20-affc-d3c93db9b24a.jpg","","","CS13_200470","Frozen"," 34.99"
"6","256176","https://media.booker.co.uk/1/3ea2ac1d-85bd-4997-9859-ba64cdec7173.jpg","","","CS13_200470","Frozen"," 227.94"
"","256177","https://media.booker.co.uk/1/3ea2ac1d-85bd-4997-9859-ba64cdec7173.jpg","","","CS13_200470","Frozen"," 37.99"
"10","122704","https://media.booker.co.uk/1/a1247ca7-c144-4bba-b2fe-666ffaef7383.jpg","","","CS13_200470","Frozen"," 179.89"
"","122706","https://media.booker.co.uk/1/a1247ca7-c144-4bba-b2fe-666ffaef7383.jpg","","","CS13_200470","Frozen"," 17.99"
"4","259934","https://media.booker.co.uk/1/0cac0b8c-6a75-4eaa-b3bd-75167644feba.jpg","","","CS13_200470","Frozen"," 55.56"
"","259935","https://media.booker.co.uk/1/0cac0b8c-6a75-4eaa-b3bd-75167644feba.jpg","","","CS13_200470","Frozen"," 13.89"
"6","256184","https://media.booker.co.uk/1/d2dbc78a-e705-423a-a467-2abb37dfb629.jpg","","","CS13_200470","Frozen"," 197.89"
"","256185","https://media.booker.co.uk/1/d2dbc78a-e705-423a-a467-2abb37dfb629.jpg","","","CS13_200470","Frozen"," 32.99"
"6","21634","https://media.booker.co.uk/1/9370fbca-d2a8-4325-b899-4d03b08cde3c.jpg","","","CS13_200470","Frozen"," 64.49"
"","21600","https://media.booker.co.uk/1/9370fbca-d2a8-4325-b899-4d03b08cde3c.jpg","","","CS13_200470","Frozen"," 10.99"
"10","182146","https://media.booker.co.uk/1/bd27a59a-cad6-4e33-b649-dcc6246c631b.jpg","","","CS13_200470","Frozen"," 229.89"
"","182148","https://media.booker.co.uk/1/bd27a59a-cad6-4e33-b649-dcc6246c631b.jpg","","","CS13_200470","Frozen"," 22.99"
"","285689","https://media.booker.co.uk/1/b47ddb97-11a4-4ef3-82c1-7f8b28e58ed8.jpg","","","CS13_200460","Frozen"," 10.99"
"6","271588","https://media.booker.co.uk/1/2e7dd20a-05e7-462d-9bae-a4899a0c13df.jpg","","","CS13_200460","Frozen"," 71.89"
"","271589","https://media.booker.co.uk/1/2e7dd20a-05e7-462d-9bae-a4899a0c13df.jpg","","","CS13_200460","Frozen"," 11.99"
"6","275344","https://media.booker.co.uk/1/b71950eb-d3f4-4e0b-930f-bfb670737ce5.jpg","","","CS13_200460","Frozen"," 71.89"
"","275345","https://media.booker.co.uk/1/b71950eb-d3f4-4e0b-930f-bfb670737ce5.jpg","","","CS13_200460","Frozen"," 11.99"
"6","252253","https://media.booker.co.uk/1/4b44d94f-982e-42f0-968d-0794cd6abe51.jpg","26.7","1.99","CS13_200460","Frozen"," 8.75"
"20","234198","https://media.booker.co.uk/1/c5dc8ba6-9022-4165-8bd4-8ceaba0f6a0f.jpg","","","CS13_200460","Frozen"," 55.79"
"","234199","https://media.booker.co.uk/1/c5dc8ba6-9022-4165-8bd4-8ceaba0f6a0f.jpg","","","CS13_200460","Frozen"," 2.79"
