code,barcode,name,img
211978,5035766061175.0,Amstel Bier Lager Beer 650ml Bottle,/1/142728a8-08cb-4ee1-a78d-d19248273bd6.jpg
247138,5035766063322.0,Amstel Bier Lager 300ml,/1/e1124dbd-f223-411e-a3a8-102e5e48df48.jpg
256125,5035766063933.0,Amstel Bier Premium Pilsener 440ml £4.75 PMP Cans,/1/121de752-fa36-4d1c-b291-7c14dc4c5fe8.jpg
233779,8008440249128.0,Asahi Super Dry 330ml,/1/76a01c79-52cd-4fb6-b5b9-ce932647e118.jpg
234098,8008440249272.0,Asahi Super Dry 620ml,/1/5c809990-8717-4567-acae-5c1e5cfce812.jpg
56033,5023625004708.0,Bangla Premium Beer 660ml,/1/4fa76915-f255-4e27-93d1-39acf2576dc1.jpg
116911,4100130023996.0,Beck's Blue Alcohol Free German Beer Bottles 275ml,/1/20801a4a-d718-489d-8c8a-6a005aad480f.jpg
220235,4100130924002.0,Beck's Blue Alcohol Free Beer Bottles 275ml,/1/7b603725-2d44-4851-b189-503e45beff15.jpg
258676,5014379010879.0,Beck's Beer 275ml,/1/ada2a672-275c-4585-8463-59add2930572.jpg
261652,5014379010978.0,Beck's German Pilsner Beer Bottles 275ml £5.50,/1/2359c9e4-236b-4f65-9de2-957e5a64d831.jpg
258678,5014379010954.0,Beck's German Pilsner Beer Bottle 660ml,/1/f700bd73-4467-4a6b-b0ee-233d59936329.jpg
247477,5035766062578.0,Birra Moretti Lager Beer 330ml Bottles,/1/099f4996-cb15-4b95-966a-2af3673dc1b0.jpg
84876,8001435226814.0,Birra Moretti Lager Beer 330ml Bottles,/1/654dcd6e-1b1a-4c89-b2c2-34dd5dc506a1.jpg
232386,5035766062530.0,Birra Moretti Lager Beer 330ml Bottles,/1/4a69ad4e-9069-484d-be7e-a17c2414112e.jpg
236326,5035766062523.0,Birra Moretti Lager Beer 660ml Bottle,/1/4769aaa8-160a-4392-92a0-562041dc846e.jpg
133277,5010017093181.0,Brahma Premium Lager 330ml,/1/bebd3d01-dd4f-4fbf-b57e-b3258d603aab.jpg
195264,5060154910674.0,BrewDog Nanny State Alcohol Free Hoppy Ale 330ml,/images/ni200.jpg
251964,5056025421400.0,BrewDog Punk AF Alcohol Free IPA 330ml,/1/fc106b40-96ae-46af-b269-c9432c0b514d.jpg
195267,5060154914160.0,Brewdog Vagabond Pale Ale 330ml,/1/ef94caa4-884b-4ffb-9d14-4d732f678dd7.jpg
249374,5014379008807.0,Bud Light Lager Beer 440ml,/1/3af85579-b72e-4ba2-83ad-82411157d356.jpg
235376,5014379004786.0,Budweiser King of Beers Lager Beer 300ml,/1/5a68ec2f-a8e3-4e4e-8d73-bcf24c6df63d.jpg
233112,5014379005080.0,Budweiser Lager Beer Cans 568ml,/1/09836916-5c4d-42dc-908c-6f99386aeeff.jpg
233096,5014379004823.0,Budweiser Lager Beer Bottle 660ml,/1/df1bfa48-9e40-4fb6-936b-4917495d9aea.jpg
234022,5014379004809.0,Budweiser Lager Beer Bottles 300ml,/1/48ebb9ce-330d-4792-b50c-8e9a4c51d61a.jpg
974485,8594403110128.0,Budweiser Budvar Original Czech Lager 330ml,/1/2ddc0a3d-ea1b-4aaa-93f0-9e9889e5be4d.jpg
193682,8594403110111.0,Budweiser Budvar Original Czech Lager 500ml,/1/118e0c06-db09-4f20-8962-6f51391c8fd4.jpg
233157,5014379004687.0,Budweiser King of Beers Lager Beer 300ml,/1/d1db520c-bbcd-489f-a41e-ae08a2027984.jpg
238673,5014379006100.0,Budweiser Lager Beer Bottles 300ml,/1/8c301b94-bdb8-4f8e-ae01-2c0a2b053809.jpg
259156,5014379005103.0,Budweiser Lager Beer Cans 440ml,/images/ni200.jpg
258853,5410228273462.0,Budweiser Zero Alcohol Free Lager Beer Cans 330ml,/1/835eaa49-7994-49f9-8732-f106f11622ec.jpg
248226,5010038441824.0,Carling Original Lager 440ml,/1/e772363c-e491-45c3-95e5-dacba24e997f.jpg
261557,5010038049198.0,Carling Original Lager 500ml,/1/e1216e7f-6331-4a86-8fb1-afb67f3a4ea4.jpg
168782,5010038442050.0,Carling Original Lager 568ml,/1/a323a72e-2d49-44fb-aefa-503f7bff9022.jpg
234663,5010153870134.0,Carlsberg Export Lager Beer 500ml,/1/a650df41-a010-41a5-8e73-d2201e43f97b.jpg
252324,5010153871216.0,Carlsberg Lager Beer 440ml,/1/233f31a5-8120-490b-bc85-75bc8f00fb16.jpg
226689,5016325848666.0,Carlsberg Lager Beer 330ml,/1/b30040f3-42ac-4639-9ca4-13dd7d23d97c.jpg
246754,5010153870929.0,Carlsberg Lager Beer 500ml,/1/21006a81-a60c-441d-80d8-86508be971ac.jpg
134907,7501064193101.0,Corona Lager Beer Bottles 330ml,/1/1d61c259-b1b6-45d0-ad23-cc7f1b30d1bc.jpg
162663,8690520510190.0,Efes Draft 50cl,/1/c71c3464-3d1e-4023-8286-8d1d3e446df8.jpg
69669,8690520035587.0,Efes Pilsener Beer 33cl,/1/0836c87d-db38-474b-a6f8-b3ed4bbdd219.jpg
234668,5010153870219.0,Holsten Pils Lager Beer 500ml,/1/71005156-3647-4941-9f69-e1b982000ea2.jpg
239119,5010103941891.0,"Rockshore Lager, 440ml Can",/1/4d0d41e9-4f35-4df3-98eb-68a311229a36.jpg
921007,5016325771667.0,San Miguel Premium Lager Beer 330ml,/1/c593e459-952e-45a9-bd73-b4dd84431b37.jpg
250722,5010153771622.0,San Miguel Premium Lager Beer 500ml,/1/8da6f4b1-1028-4ae1-9ce2-44fb34c2ad1f.jpg
247172,5010153871049.0,Skol Lager 500ml,/1/06ef7d4c-2428-453c-888a-d282b18750b7.jpg
263578,5014379012941.0,Stella Artois Belgium Premium Lager Bottles 330ml £5,/1/3603bb86-6afb-4396-a29c-b60b314cdc06.jpg
263576,5014379012866.0,Stella Artois Belgium Premium Lager Beer Cans 440ml,/1/eb3ca40c-1f72-46c1-b0dc-518f1918b489.jpg
265456,5010153871476.0,Carlsberg Lager Beer 500ml PMP £5,/1/750b02e2-21dd-4cdb-936d-db2a33ea5ae7.jpg
245986,5010153870714.0,Carlsberg Lager Beer 330ml,/1/68557131-5b1f-44cc-b3f6-73888031a2a3.jpg
232763,5016325849144.0,Carlsberg Lager Beer 440ml,/1/e827cea8-055a-4068-bb37-da390ad9ea98.jpg
265455,5010153871483.0,Carlsberg Lager Beer 568ml,/1/05fb67ca-7653-4bf1-ac70-f354814aa024.jpg
246753,5010153871483.0,Carlsberg Lager Beer 568ml,/1/05fb67ca-7653-4bf1-ac70-f354814aa024.jpg
245982,5010153870899.0,Carlsberg Special Brew Beer 500ml,/1/df2a4b46-75ca-49dc-a84e-827c1e955e2c.jpg
205274,8851994513012.0,Chang Classic Lager Beer 320ml,/1/db83716c-b9a0-4ade-b584-123d3202ba3e.jpg
263867,5010038464410.0,Coors Light Lager 500ml,/1/abfb195d-d29b-486b-9708-aefdef2d0a3b.jpg
246598,5010038464458.0,Coors Light Lager 568ml,/1/48b23cd1-0bfe-41c9-a5ba-54dd62ce180b.jpg
87646,7501064193040.0,Corona Lager Beer Bottles 330ml,/1/eb84a10b-bd04-406e-8582-4b76456e33ab.jpg
135253,7501064193064.0,Corona Extra Lager Beer Bottles 330ml,/1/df6ae06a-210d-496f-b605-b6e2ab4b9bf1.jpg
130543,75040987.0,Corona Lager Beer Bottle 710ml,/1/725f7c6c-06c3-4edc-b991-4d9220e3d626.jpg
121844,3155930001300.0,Desperados Tequila Lager Beer 330ml Bottles,/1/bdb401c9-0e5f-473c-9848-7b92a2bedd4c.jpg
75273,3155930006015.0,Desperados Tequila Lager Beer 330ml Bottle,/1/e0d10e1b-9947-44be-94e4-a4d4b567ef75.jpg
201424,8712000037321.0,Desperados Tequila Lager Beer 500ml Cans,/1/c70c4aaf-13c1-40ac-8f17-3329e54a3753.jpg
177728,3155930005568.0,Desperados Tequila Lager Beer 650ml Bottle,/1/ad1b183a-03c7-4c4b-bc62-b5462e8eb08b.jpg
195006,4002103248118.0,Erdinger Weissbrau Alkoholfrei 50cl,/1/31c62354-e14e-4b12-876c-e2c038711a20.jpg
135232,8410793022837.0,Estrella Damm Beer 330ml,/1/14435b6e-1b52-413c-9f53-f255f9c4f5e7.jpg
234339,8410793282965.0,Estrella Damm Beer 660ml,/1/25271ed7-80be-447a-87da-c0e0b7f64563.jpg
233319,5035766184911.0,Foster's 568ml,/1/418fc230-038d-4348-a54a-7efe8cc3a638.jpg
233354,5010055400002.0,Foster's Lager Beer 440ml Cans,/1/3e434406-737c-464d-af19-70161a569d6f.jpg
251316,5035766181460.0,Foster's Lager Beer 440ml Cans,/1/1eb63749-3ed4-421f-bbf2-0906f1ab44bc.jpg
256124,5010055100001.0,Foster's Lager Beer 440ml Cans,/148736_1_ID Shot_600_600.jpg
